region,avg_distance_to_hawker
ANG MO KIO,396.1131235346922
BEDOK,518.6613221582957
BISHAN,687.2780147243742
BUKIT BATOK,1133.6492223516202
BUKIT MERAH,406.53288433721457
BUKIT PANJANG,775.9975478617147
BUKIT TIMAH,766.2525636476086
CHANGI,3552.163527928701
CHOA CHU KANG,1530.2662467762673
CLEMENTI,148.51856263924952
DOWNTOWN CORE,516.317511727373
GEYLANG,362.7782107524921
HOUGANG,590.8125659253683
JURONG EAST,733.8598208502308
JURONG WEST,661.5733650167558
KALLANG,401.01889327164764
MARINA SOUTH,1857.3949366644094
MUSEUM,717.0458103092625
NEWTON,150.745914559512
NOVENA,849.6912842657463
ORCHARD,1137.6902700519056
OUTRAM,213.43795246570812
PASIR RIS,254.2998295629833
PIONEER,3675.8192026272854
PUNGGOL,862.5332479827574
QUEENSTOWN,631.8882634175502
RIVER VALLEY,1387.0824525041858
ROCHOR,282.1634434772158
SEMBAWANG,600.9368066181423
SENGKANG,766.0959962963883
SERANGOON,1092.6070452449824
SINGAPORE RIVER,338.7899491962031
STRAITS VIEW,1997.1456174819516
SUNGEI KADUT,2137.397565580983
TAMPINES,1213.9187261966963
TANGLIN,1121.6768413190525
TOA PAYOH,512.3280596387098
TUAS,6334.558870467241
WOODLANDS,790.3000586843899
YISHUN,1767.0794588256852
